행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,montly-avg_단독다가구,dep-avg_단독다가구_월세,montly-avg_아파트,dep-avg_아파트_월세,montly-avg_연립다세대,dep-avg_연립다세대_월세,montly-avg_오피스텔,dep-avg_오피스텔_월세,dep-avg_단독다가구_전세,dep-avg_아파트_전세,dep-avg_연립다세대_전세,dep-avg_오피스텔_전세,montly-avg_mean,dep-avg_rent_mean,dep-avg_deposit_mean,count_도시철도,count_bus,count_transport,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop
서울특별시 종로구 사직동,11010530,"2,299",8998,4536,50.68342152,25.55012225,0.0002,71.43939393939394,3687.121212121212,,,97.56666666666666,11621,84.73076923,4436.538462,22330.571428571428,,31033.105263157893,28166.82692307692,84.57894327868688,6581.5532247070705,27176.834538268744,2,15,17,410,111,29,47,280,84,35,246,39,901,3240
서울특별시 종로구 삼청동,11010540,555,2248,1120,49.55357143,24.6886121,0.0001,93.75,7071.428571428572,,,80.75,12000,,,20750,,,,87.25,9535.714285714286,20750,,,,118,27,2,9,206,8,24,38,6,220,1756
서울특별시 종로구 부암동,11010550,"1,674",9085,4133,40.50326639,18.42597688,0.0002,64.60493827160494,9437.037037037036,20,17500,71.62337662337663,9537.337662337664,50.55555556,1444.444444,30263.88888888889,28375,30749.02298850575,19000,51.695967613745395,9479.704785843676,27096.97796934866,,,,87,32,2,11,94,33,10,30,7,115,1539
서울특별시 종로구 평창동,11010560,"2,260",17387,7135,31.67484233,12.99821706,0.0002,96.64705882,12403.921568627453,85.14285714285714,3964.285714285714,104.83333333333331,14716.666666666666,65,1000,41102.63157894737,27250,41103.02532,,87.90581232404762,8021.218487394958,36485.21896513435,,,,127,42,5,32,141,47,5,31,20,131,1719
서울특별시 종로구 무악동,11010570,707,7961,3008,23.50398936,8.88079387,0.0001,104.375,2062.5,115.17857142857144,19460.714285714286,57.22222222222222,4833.333333333333,,,5000,50990.19230769231,14000,,92.25859788359789,8785.515873015873,23330.064102564105,,,,7,6,2,8,28,16,0,6,7,40,1175
서울특별시 종로구 교남동,11010580,"1,621",9715,4344,37.31583794,16.68553783,0.0002,46.97916666666666,3064.583333333333,96.91826923076924,17063.44230769231,46.46153846153846,5858.769230769231,87.32,3914,14032,62534.28,17802.440476190477,27746.666666666668,69.41974358974359,7475.198717948718,30528.846785714286,,,,29,19,7,10,41,18,1,9,7,91,1399
서울특별시 종로구 가회동,11010600,921,3860,1910,48.21989529,23.86010363,0.0001,66.51063829787235,10287.234042553191,,,71.39682539682539,5579.365079,,,23481.48148148148,,22447.321428571428,,68.95373184734888,7933.299560959136,22964.401455026455,1,,1,112,37,2,15,140,15,45,24,12,215,1813
서울특별시 종로구 종로1.2.3.4가동,11010610,"3,921",6683,4903,79.97144605,58.67125542,0.0004,66.14634146341463,1124.3902439024391,88.41666666666667,1722.2222222222222,71.83333333333333,883.3333333333334,78.475,2702.5,11583.333333333334,28376.92307692308,17500,21236.90909090909,76.21783536585366,1608.1114498644988,19674.291375291374,4,22,26,1066,300,62,170,2302,405,181,624,133,2202,8660
서울특별시 종로구 종로5.6가동,11010630,"2,570",5384,3581,71.76766266,47.73402675,0.0003,50.59615384615385,3747.1153846153848,72.36956522,5869.565217391304,29.285714285714285,10308.57142857143,70.0862069,3364.137931,11880.8,24250,23961.11111111111,20095.483333333334,55.58441006231486,5822.34749,20046.848611111112,2,8,10,171,32,25,67,580,69,34,51,34,541,2847
서울특별시 종로구 이화동,11010640,"2,731",6899,4211,64.85395393,39.58544717,0.0003,56.906666666666666,3406.6666666666665,81.41666666666667,1250,52.72435897435897,4510.25641,65.25,2250,16317.741935483871,30000,17086.824324324323,17000,64.07442307692307,2854.230769230769,20101.14156495205,1,5,6,137,44,21,11,142,24,10,34,28,306,2010
서울특별시 종로구 창신1동,11010670,"1,547",4521,2626,58.91089109,34.21809334,0.0002,53.70588235294117,1541.1764705882354,77.54285714285714,7771.428571428572,37.5,9607.666666666666,85,1029.411765,15625,29960.9375,21938.88888888889,20057.14285714286,63.437184873949576,4987.420868420869,21895.492311507936,2,2,4,92,6,19,35,323,57,30,30,21,211,2087
서울특별시 종로구 창신2동,11010680,"2,031",7510,3983,50.99171479,27.04394141,0.0002,,,38,11000,36.05714285714286,6085.714285714285,,,,23232.941176470587,14918.485714285714,,37.028571428571425,8542.857142857143,19075.71344537815,,,,28,4,2,15,88,37,14,9,15,125,1610
서울특별시 종로구 창신3동,11010690,946,6345,2769,34.16395811,14.90937746,0.0001,44.244239631336406,2074.6543778801843,96.63157894736842,7894.736842105263,41.888888888888886,5614.777777777777,,,12961.39705882353,30855.042857142857,16800,,60.921569155864574,5194.722999254408,20205.479971988796,1,,1,7,5,0,13,25,13,4,2,5,32,1264
서울특별시 종로구 숭인1동,11010700,"1,489",5782,2995,49.71619366,25.75233483,0.0001,57.53333333333333,2126.6666666666665,110.25,17281.25,45.25714285714286,8453.714285714286,58.57142857,2142.857143,12400,44736.206896551725,24090,13160,67.90297619011905,7501.122023845239,23596.55172413793,1,1,2,20,6,4,11,46,35,4,6,1,45,1470
서울특별시 종로구 숭인2동,11010710,"4,795",9821,6651,72.09442189,48.82394868,0.0005,52.56962025316456,2289.8734177215188,49.89784946236559,7909.301075268817,46.890625,4784.84375,60.37915743,2474.208426,12654.237288135591,24959.227941176472,16639.024390243903,20595.8125,52.434313036382534,4364.556667247584,18712.075529888993,,,,76,24,3,46,294,51,48,35,30,196,2105
서울특별시 종로구 청운효자동,11010720,"1,964",11349,5048,38.90649762,17.30548947,0.0002,76.18390805,6987.126436781609,40,5000,61.25,9998.557692307691,,,25421.691176470587,,31724.64885496184,,59.144636016666674,7328.561376,28573.170015716212,,,,167,38,4,32,176,45,33,35,9,277,2128
서울특별시 종로구 혜화동,11010730,"5,697",15869,9114,62.5082291,35.90018275,0.0006,58.26636050516648,1990.332950631458,84.34782608695652,13869.565217391304,63.708463949843264,4000.783699059561,,,16636.434108527134,34500,26963.06122,,68.77421684732208,6620.227289027441,26033.165111005645,,,,155,60,8,52,219,97,47,46,65,578,2659
서울특별시 중구 소공동,11020520,738,2185,1237,59.66046888,33.77574371,0.0001,,,113.15789473684212,9678.070175438595,,,99.33333333,7627.777778,6000,33114.28571428572,,27488,106.24561403342106,8652.923976719298,22200.761904761905,3,25,28,464,47,26,38,743,76,32,243,23,676,2865
서울특별시 중구 회현동,11020540,"1,515",4394,2502,60.55155875,34.47883477,0.0002,61.49206349206349,2487.3015873015875,150.85714285714286,6175.214285714285,53.125,3937.5,,,11300,48072.72727272727,22489.28571428572,,88.49140211640213,4200.005291005291,27287.337662337664,2,21,23,144,26,23,31,1995,108,45,82,26,502,3509
서울특별시 중구 명동,11020550,950,2595,1375,69.09090909,36.6088632,0.0001,86.41025641025641,3260.25641,,,154,3200,,,15269.23076923077,,28000,,120.2051282051282,3230.128205,21634.615384615383,1,15,16,813,92,95,118,758,219,157,703,56,1071,4629
서울특별시 중구 필동,11020570,"1,679",4012,2495,67.29458918,41.84945165,0.0002,63.6,1951.1818181818185,91.08695652173913,3086.9565217391305,55.34375,5974.84375,90.2625,4325,20130.434782608696,26580.434782608696,26066.666666666668,24326.42857142857,75.07330163043478,3834.495522480237,24275.991200828157,2,3,5,712,42,12,41,180,49,35,97,28,437,2210
서울특별시 중구 장충동,11020580,"1,918",4548,2834,67.67819337,42.17238347,0.0002,59.60683760683761,2613.931623931624,60.36363636363637,1045.4545454545455,50.15277777777778,2949.972222222222,,,15415,,15884.493670886077,,56.707750582750585,2203.1194638694637,15649.746835443038,1,,1,81,19,2,11,92,24,23,23,12,145,1039
서울특별시 중구 광희동,11020590,"2,899",5790,3967,73.07789261,50.06908463,0.0003,60.5,1486.607142857143,74.36437246963563,6977.327935222672,54.5,5762.5,78.87234043,3063.829787,18818.18181818182,28562.18487394958,20779.41176470588,19428.571428571428,67.05917822,4322.566216269954,21897.087471352177,3,4,7,788,44,26,64,1417,99,111,140,34,592,3932
서울특별시 중구 을지로동,11020600,"1,548",3028,2130,72.67605634,51.12285337,0.0002,45,1500,173.76616915422886,11957.114427860695,,,80.01550388,3889.147287,,50360.69767,,23960.231707317074,99.59389101140961,5782.087238286898,37160.46469086784,4,7,11,1040,32,22,78,498,62,48,91,37,641,3176
서울특별시 중구 신당5동,11020650,"2,799",10161,5393,51.9006119,27.54650133,0.0003,59.516129032258064,3129.032258064516,74.66493506493507,4159.288311688311,64.5,7465.384615384615,78.14893617,4382.978723,13988.888888888889,51092.293333333335,27454.761904761905,24792.30769230769,69.20750006679829,4784.1709770343605,29332.062954822955,1,3,4,58,11,6,28,131,62,13,12,23,239,1307
서울특별시 중구 황학동,11020670,"4,406",12697,7429,59.30811684,34.7011105,0.0004,54.16981132075472,1686.188679245283,99.02362204724407,8968.173228346457,55.256410256410255,10225,70.04433498,6651.576355,15482.4,36311.29585798817,24621.91780821918,24328.39844,69.62354465110226,6882.734565647935,25186.00302655184,,,,49,18,11,35,409,56,18,18,20,278,1694
서울특별시 중구 중림동,11020680,"2,751",12148,5940,46.31313131,22.645703,0.0003,51.76923076923077,3061.538461538461,70.24431818181819,11485.210227272728,54.774193548387096,5076.032258064516,87.01503759,3860.263158,15340,58342.02344,22222.36842105263,22215.76470588236,65.95069502235901,5870.761026218926,29530.039141108748,,,,76,16,8,24,78,34,20,19,19,198,1314
서울특별시 중구 신당동,11020690,"3,131",7417,4708,66.50382328,42.21383309,0.0003,56.63243243243243,2771.891891891892,72.38636363636364,2829.5454545454545,56.63157894736842,6773.684210526316,79.16,2300,17095.073891625616,24742.85714285714,23455.822784810127,22402.5,66.20259375404112,3668.7803892409156,21924.06345482322,3,2,5,132,10,6,91,558,90,20,129,30,331,2249
서울특별시 중구 다산동,11020700,"3,312",13320,6811,48.62722067,24.86486486,0.0003,54.08163265306123,3083.673469387755,35.6,9250,81.37623762376238,6877.722772277228,68.19444444,2296.277778,11972.058823529413,17053.125,22786.943005181347,15798.46153846154,59.81307868,5376.918504916245,16902.647091793075,,,,145,32,14,22,155,59,9,46,36,206,1605
서울특별시 중구 약수동,11020710,"3,189",16108,7752,41.1377709,19.79761609,0.0003,,,75.41935483870968,9079.432258064517,59.03030303030303,10365.90909090909,72.36842105,3521.052632,,41330.11678832117,25392.85714285714,20230.76923076923,68.93935964,7655.464660324535,28984.581053982514,3,,3,47,29,21,20,109,54,5,11,14,142,1353
서울특별시 중구 청구동,11020720,"2,566",12971,6153,41.70323419,19.78259194,0.0003,22,6900,101.0506329113924,15812.253164556962,55.4,7896.75,30,2480,9000,40152.38993710692,23108.367346938776,12000,52.11265823,8272.250791,21065.189321011425,,,,56,23,3,16,80,49,1,12,16,87,1274
서울특별시 중구 동화동,11020730,"1,118",9938,3988,28.03410231,11.24974844,0.0001,44.5,5375,98.77777777777776,20020.38888888889,68.90909091,7854.545454545455,,,13937.5,56823.68421052631,29515.652173913044,,70.72895622895622,11083.31144781145,33425.61212814645,,,,42,13,4,26,81,45,2,13,20,106,1312
서울특별시 용산구 후암동,11030510,"4,243",15998,8257,51.38670219,26.52206526,0.0004,53.74460431654676,4191.330935251798,46.66666666666666,2666.6666666666665,68.35260115606937,7760,34.16666667,6166.666667,16836.778443113773,20000,24728.97661870504,12833.333333333334,50.732634702320695,5196.166067229617,18599.772098788035,,,,131,31,6,51,156,56,20,28,13,192,4847
서울특별시 용산구 용산2가동,11030520,"2,786",8912,5032,55.36565978,31.26122083,0.0003,62.18134715025906,3400.310880829016,,,61.330357142857146,4741.964285714285,,,17441.034090909092,,18042.18918918919,,61.75585215,4071.1375832716503,17741.61164004914,,,,76,28,1,27,108,37,8,12,10,258,4738
서울특별시 용산구 남영동,11030530,"3,723",6829,4853,76.71543375,54.5174989,0.0004,59.108108108108105,3561.036036036036,51,4833.333333333333,65.02564102564102,6997.4358974358975,93.02439024,2829.268293,16737.878787878788,12100,22580.46153846154,25318.045454545456,67.03953484343728,4555.268389951317,19184.096445221447,5,10,15,170,59,14,30,223,68,53,86,47,481,1231
서울특별시 용산구 원효로2동,11030570,"2,577",13636,6254,41.2056284,18.89850396,0.0003,60.60747663551402,3444.8598130841124,79.7375,13974.6125,64.98148148148148,5990.148148148148,62.1,9630,15840.196078431372,37623.61212121212,20036.778409090908,21761.76470588236,66.85661452924887,8259.905115308065,23815.587828654192,,,,58,28,3,31,137,70,5,23,15,96,574
서울특별시 용산구 효창동,11030580,"1,759",10685,4725,37.22751323,16.46233037,0.0002,61.310810810810814,4580.405405405405,102.72857142857144,20101.814285714285,58.50980392156863,9339.362745098038,,,17112.90322580645,62468.62745098039,24753.41883116883,,74.18306205,11340.52747873924,34778.31650265189,1,4,5,47,20,4,18,65,14,1,11,3,46,367
서울특별시 용산구 용문동,11030590,"2,136",11407,5314,40.19570945,18.72534409,0.0002,52.73195876,3503.092783505155,72.51388888888889,12654.666666666666,63.292929292929294,6552.626262626262,62.5,1500,19739.473684210527,42319.66336633663,23613.060402684565,,62.759694235454546,6052.596428199521,28557.399151077243,1,,1,38,14,3,29,115,53,1,9,10,134,564
서울특별시 용산구 이촌1동,11030630,"1,810",24933,9126,19.83344291,7.25945534,0.0002,56.66666666666666,1666.6666666666667,139.87434554973822,17487.09947643979,,,,,17166.428571428572,52804.333333333336,,,98.27050610820244,9576.883072,34985.380952380954,,,,18,19,11,30,117,46,0,1,13,145,607
서울특별시 용산구 이촌2동,11030640,"1,310",7868,3591,36.48008911,16.64972039,0.0001,,,85.89690721649484,13920.773195876289,91.93181818,4363.636363636364,,,,36399.835820895525,18840.384615384617,,88.91436269915653,9142.204779756326,27620.11021814007,,,,28,3,0,18,43,20,1,8,0,31,349
서울특별시 용산구 이태원1동,11030650,"1,978",6020,3435,57.58369723,32.85714286,0.0002,91.58181818181818,2290.909090909091,100,13000,228.4909090909091,6365.818181818182,,,16710,35000,34142.82608695652,,140.02424242424243,7218.909090909091,28617.608695652172,1,1,2,157,26,7,47,531,69,46,27,16,609,1808
서울특별시 용산구 이태원2동,11030660,"2,705",8663,4850,55.77319588,31.22474893,0.0003,81.41866666666667,2320.4,117.42857142857144,15539.285714285714,128.07692307692307,6326.813186813187,,,21920.99236641221,40252.7027,29419.751773049644,,108.97472039072039,8062.166300366301,30531.148947388185,1,1,2,179,36,3,42,165,53,10,25,14,256,1076
서울특별시 용산구 서빙고동,11030690,"1,687",12432,5094,33.11739301,13.56981982,0.0002,62.276315789473685,4394.276315789473,160,10000,131.84375,4627.5,,,17730.985915492958,42799.16666666666,25015.97938,,118.04002192982456,6340.5921052631575,28515.37732120097,1,8,9,61,17,0,16,89,32,2,28,3,48,605
서울특별시 용산구 보광동,11030700,"3,469",11147,6279,55.2476509,31.12048085,0.0003,50.19615384615385,2072.923076923077,151,12600,69.03571428571429,3171.428571428572,,,15348.12408759124,42411.76470588235,18255.33333333333,,90.07728937728938,5948.117216117217,25338.407375602303,,,,78,21,5,71,139,87,11,15,13,182,983
서울특별시 용산구 청파동,11030710,"7,001",18843,11124,62.93599425,37.15438094,0.0007,50.27472527472528,2082.619047619048,,,64.62616822429906,5427.640186915888,58.77777778,8075,13299.666666666666,24333.33333333333,22215.16748,22358.108108108107,57.892890426341445,5195.086411511646,20551.568896945726,,,,142,46,5,69,230,114,81,45,41,413,1577
서울특별시 용산구 원효로1동,11030720,"5,170",17007,9279,55.71721091,30.39924737,0.0005,57.43518518518518,3491.6666666666665,76.10236220472441,11583.377952755904,66.79591836734694,8866.428571,77.19796954,5224.060914,15851.75925925926,37926.05970149254,24146.381081081083,26134.03162055336,69.38285882431413,7291.383526212785,26014.55791559656,,,,125,44,5,64,170,67,10,18,24,296,1242
서울특별시 용산구 한강로동,11030730,"6,056",21016,11260,53.78330373,28.81614008,0.0006,48.85714285714285,2017.857142857143,31.26818181818182,13111.315909090908,63.06060606060606,4814.242424242424,78.37254902,5568.627451,15499.939393939394,23760.60606060606,21091.26415,24978.18181818182,55.389619938982676,6378.010731797619,21332.49785591767,7,28,35,379,103,32,169,923,184,21,100,47,1003,3409
서울특별시 용산구 한남동,11030740,"4,921",17755,9352,52.61976048,27.7161363,0.0005,98.67484662576688,2889.877300613497,247.62121212121207,18727.219696969696,281.90845070422534,14429.964788732394,65,8000,19207.85714285714,60847.26190476191,54620.37383,38000,173.30112736280108,11011.765446578896,43168.87321984869,2,8,10,387,97,22,101,449,124,14,67,47,676,2461
서울특별시 성동구 왕십리2동,11040520,"3,002",16095,7385,40.64996615,18.6517552,0.0003,51.07602339181287,3469.2631578947367,88.46212121212122,16046.60606060606,86.62068965517241,9724.137931034482,82.56565657,4240.40404,15413.851063829788,50347.77832512315,29020.886075949365,25155.950819672133,77.18112270727663,8370.102797383819,29984.61657114361,1,2,3,41,24,12,32,107,64,9,9,15,126,4086
서울특별시 성동구 마장동,11040540,"5,355",21573,10850,49.35483871,24.82269504,0.0005,47.970772442588725,2296.1649269311065,76.63888888888889,8207.509259,50.968,5412.104,50.78947368,2963.157895,12743.595041322316,35257.32768361582,20417.714285714286,18276.92307692308,56.591783752869404,4719.734020297591,21673.890021893876,1,,1,84,26,3,31,150,85,3,37,29,189,4324
서울특별시 성동구 사근동,11040550,"6,165",11947,8198,75.2012686,51.60291287,0.0006,48.85537190082645,1651.1570247933885,61.92307692307692,3009.6153846153848,49.88535031847134,3497.452229299363,107.8333333,8166.666667,12832.142857142857,18012.090909090908,20232.786885245903,,67.12428311059368,4081.2228264270343,17025.673550493226,2,2,4,67,22,5,30,111,49,27,28,55,385,4486
서울특별시 성동구 행당1동,11040560,"2,805",13685,6441,43.54913833,20.49689441,0.0003,50.36130536130536,2619.009324009324,123.06875,9416.33125,62.64,7538.666666666667,66.28421053,2147.368421,15326.37037037037,56033.67415730337,31191.986842105263,20129.41176470588,75.58856647282634,5430.343915418997,30670.360783621225,4,4,8,62,60,12,37,219,89,8,25,31,288,4557
서울특별시 성동구 행당2동,11040570,"2,456",22851,9227,26.61753549,10.7478885,0.0002,53.84615384615385,2615.3846153846152,97.78947368421052,15002.61943319838,75,8428.571429,,,22000,43844.56451612903,24809.32,,75.54520917678812,8682.191826,30217.961505376345,1,,1,23,35,3,14,75,45,1,4,6,67,4019
서울특별시 성동구 응봉동,11040580,"1,618",14941,5950,27.19327731,10.82926176,0.0002,45.18181818181818,2225.181818181818,115.12162162162164,14182.432432432432,41.73913043478261,3591.304347826087,,,14465,41188.89655172414,15909.483516483517,,67.34752341274081,6666.306199480113,23854.460022735886,1,,1,14,10,2,6,29,23,0,1,5,33,3561
서울특별시 성동구 금호1가동,11040590,"2,291",14745,6503,35.2298939,15.53747033,0.0002,42.142857142857146,2966.6666666666665,126.21527777777776,17452.819444444445,40.07142857142857,4940,58.45454545,3487.727273,15218.181818181818,54840.97435897436,15954.878048780489,,66.72102723551588,7211.803346027778,28671.34474197889,,,,25,35,4,14,51,35,0,5,12,81,3727
서울특별시 성동구 금호4가동,11040620,"2,354",14154,6403,36.76401687,16.63134096,0.0002,46.72580645,2570.967741935484,160.8560606060606,17895.689393939392,57.888888888888886,7888.888888888889,45,1000,16670,54980.83050847457,20886.19047619048,13670,77.61768898664059,7338.886506190942,26551.755246166264,1,1,2,32,21,10,23,88,61,4,6,18,118,4225
서울특별시 성동구 성수1가1동,11040650,"3,313",15392,7434,44.56550982,21.5241684,0.0003,55.77260981912145,3143.5193798449613,159.2470588235294,20512.352941176472,73.26415094339623,8150,66.5,3498.93617,16078,47458.40789473684,21745.063063063066,24893,88.69595489651176,8826.202122755358,27543.617739449975,1,2,3,308,80,5,66,144,82,2,47,28,266,4962
서울특별시 성동구 성수1가2동,11040660,"2,767",11943,5911,46.81103028,23.16838315,0.0003,53.333333333333336,2088.8888888888887,100.9322033898305,23848.305084745763,70.31578947,5184.210526315789,88,5280.851064,16000,49185.33980582524,23483.64583333333,26736.58536585365,78.14533154921202,9100.563891,28851.392751253057,1,3,4,886,87,16,70,288,114,5,102,40,616,6178
서울특별시 성동구 성수2가1동,11040670,"3,887",14605,7642,50.86364826,26.61417323,0.0004,48.42283950617284,3445.2191358024693,137.15384615384616,20500,53.71186440677966,5302.033898305085,105,6333.333333,14194.755102040815,40957.3908,19366.49565217391,24899.466666666667,86.07213751669966,8895.146592,24854.52705636977,,,,343,44,4,72,309,145,11,61,44,419,5426
서울특별시 성동구 성수2가3동,11040680,"2,730",10047,5225,52.24880383,27.17229024,0.0003,90,2333.333333333333,87,21000,55.05882352941177,8808.039215686274,67.85714286,2204.761905,19500,44484.35,21893.130081300813,19690,74.97899159735294,8586.533613504902,26391.87002,1,6,7,1330,114,22,140,489,228,19,193,72,674,7285
서울특별시 성동구 송정동,11040690,"2,972",9720,5365,55.39608574,30.57613169,0.0003,46.718934911242606,2568.417159763313,80,14106.666666666666,38.44444444444444,9935.555555555557,67.28571429,6428.571429,14128.04054054054,37444,20716.875,,58.112273411421754,8259.802702746383,24096.305180180178,,,,134,13,3,15,87,56,4,22,10,84,4452
서울특별시 성동구 용답동,11040700,"5,284",12039,7722,68.42786843,43.8906886,0.0005,44.68860759493671,2477.240506329114,49.4,4570.94,80.3671875,6202.90625,68.63,2884.023333,16547.24770642202,27000,23356.82593856655,17630.820833333335,60.77144877373418,4033.7775223322787,21133.723619580473,2,6,8,128,21,6,51,225,152,13,70,30,214,4964
서울특별시 성동구 왕십리도선동,11040710,"5,162",26269,12184,42.36703874,19.65053866,0.0005,51.51937984496124,3906.6666666666665,129.19718309859155,18717.922535211263,41.977777777777774,9891.111111111111,69.836,5433.12,18148.275862068964,56026.51612903226,26014.830769230768,22200.532019704435,73.13258518033264,9487.205078247262,30597.53869500911,,,,166,67,27,53,223,163,26,61,41,475,5386
서울특별시 성동구 금호2.3가동,11040720,"3,598",21953,9893,36.3691499,16.38955951,0.0004,42.78832116788321,3400.912408759124,164.82805429864254,19785.05429864253,44.22641509433962,7560.377358490566,,,12903.333333333334,55581.89454545455,19609.74025974026,,83.94759685362179,10248.781355297406,29364.98937950938,1,,1,32,26,13,38,145,83,8,10,22,222,4703
서울특별시 성동구 옥수동,11040730,"3,217",25402,10756,29.90888806,12.66435714,0.0003,57.81578947368421,2797.368421052632,141.57978723404256,17278.212765957447,196.1052631578948,6236.8421052631575,73.29411765,1764.705882,13716.666666666666,55110.82182628063,33007.692307692305,17159.090909090908,117.1987393789054,7019.282293568309,29748.567927432632,2,,2,55,62,15,44,79,61,1,15,20,146,4631
서울특별시 광진구 화양동,11050530,"14,966",23193,18136,82.5209528,64.52809037,0.0015,53.569787478460654,1750.6938541068353,63.937219730941706,3217.1300448430493,55.29111842105263,3711.324013157895,71.96513761,3292.555963,13278.569182389938,22196.07843137255,18094.41379310345,20161.67403314917,61.19081581011375,2992.9259687769445,18432.683860003777,2,12,14,230,73,33,85,306,183,54,81,160,899,5135
서울특별시 광진구 군자동,11050540,"7,040",19070,11312,62.23479491,36.91662297,0.0007,48.681912681912685,3096.510395010395,53.45454545454545,12045.454545454546,47.99441340782123,8516.983240223464,67.47916667,4590.3125,14439.231270358308,35983.333333333336,24340.647887323943,19986.88679245283,54.40250955356984,7062.315170172102,23687.524820867104,,,,187,47,9,59,240,133,23,70,51,394,4273
서울특별시 광진구 중곡1동,11050550,"4,885",15239,8651,56.46746041,32.05590918,0.0005,,,21.618181818181817,5030.472727272727,41.22641509433962,7736.386792,66.62068966,3138.793103,,33020,23988.13734,19801.78571428572,43.15509552417382,5301.884207575185,25603.307684447176,2,7,9,130,26,14,64,220,128,10,51,40,289,4072
서울특별시 광진구 중곡2동,11050560,"5,225",20521,10572,49.42300416,25.46172214,0.0005,46.15,3675,38.17647059,4722.058823529412,57.767175572519086,9635.526717557252,48,6745.121951,22250,15800,24315.66417910448,21189.18918918919,47.52341154,6194.426873021666,20888.713342073417,,,,159,57,14,66,201,173,8,59,55,231,4156
서울특별시 광진구 중곡3동,11050570,"4,463",15727,8518,52.39492839,28.37794875,0.0004,39.285714285714285,3235.714285714286,92.45833333333331,4187.5,65.20304568527919,9033.680203045686,50.76470588,435.2941176,14211.42857142857,21331.57894736842,23176.48356807512,10500,61.9279498,4223.047151589993,17304.87277171803,1,5,6,69,17,8,47,160,120,7,33,42,213,3905
서울특별시 광진구 중곡4동,11050580,"5,430",27594,13066,41.55824277,19.67819091,0.0005,47.57023933402706,4467.797606659729,105,7000,48.43067847,10242.86430678466,50,1000,16393.196685082872,31901.42857142857,22234.64917127072,,62.75022945002594,5677.6654783610975,23509.758142594055,,,,82,43,6,41,218,114,6,38,43,231,4058
서울특별시 광진구 능동,11050590,"3,927",11097,6480,60.60185185,35.38794269,0.0004,50.42951907131012,4088.225538971808,,,56.94977168949772,8805.328767123288,67.72727273,4445.454545,16950.356275303642,20750,26129.28571428572,17763.043478260868,58.368854496935946,5779.669617031698,20398.171366962557,2,7,9,98,46,10,35,120,58,3,33,37,158,3873
서울특별시 광진구 구의1동,11050600,"7,638",23127,13100,58.30534351,33.02633286,0.0008,51.46676406135865,4131.986851716581,96.66666666666669,9333.333333333334,47.86315789473685,9450.286315789474,68.86829268,2459.512195,17053.79781420765,29200,23324.91348600509,20908.62245,66.21622032569054,6343.779673959847,22621.833437298086,1,7,8,179,76,9,78,199,147,14,45,77,426,4560
서울특별시 광진구 구의2동,11050610,"4,441",25610,11485,38.6678276,17.34088247,0.0004,48.93333333333333,4690,130.4814814814815,15575.925925925923,53.51792828685259,11323.151394422312,55.33333333,1171.666667,12500,51473.025,25501.184300341298,25150,72.06651910791686,8190.185996837059,28656.052325085326,,,,64,40,14,46,169,89,8,36,36,263,4112
서울특별시 광진구 구의3동,11050620,"4,375",27840,12051,36.30404116,15.71479885,0.0004,54.333333333333336,1166.6666666666667,66.82424242424243,11146.29696969697,50.68049793,9107.804979253113,53.81034483,5122.413793,,42369.91534391535,24536.809523809523,16846.190476190477,56.41210462822173,6635.795602154187,27917.63844797178,1,18,19,174,130,20,62,783,145,7,63,75,350,5191
서울특별시 광진구 광장동,11050630,"2,312",33971,11855,19.5023197,6.805804951,0.0002,51.896907216494846,4778.969072164949,89.72033898305085,24170.762711864405,64,10701.923076923076,64.58823529,2000,18790.303030303032,49123.90036900369,43743.87096774193,12990,67.55137037238643,10412.913715238108,31162.018591762164,1,14,15,126,68,10,47,143,73,6,48,32,214,4192
서울특별시 광진구 자양1동,11050640,"6,650",21833,11985,55.4860242,30.45848028,0.0007,46.87591240875913,3394.890510948905,133.65,13247.45,55.70333333333333,9021.863333333333,68.27956989,4026.88172,18879.5,40352.32558139535,25581.41503267974,19984.615384615383,76.12720390802312,7422.771391,26199.46399967262,,,,121,42,20,61,286,169,13,49,52,304,4578
서울특별시 광진구 자양2동,11050650,"4,448",23628,10913,40.75872812,18.82512274,0.0004,46.82407407407408,3883.1296296296296,84.86363636363636,20022.727272727272,54.22083333333333,10102.5875,59.5,4825,16542.5,40647.10526315789,26241.878632478634,17000,61.352135942760945,9708.361100589225,25107.870973909132,,,,112,48,8,53,159,132,2,34,48,190,4297
서울특별시 광진구 자양3동,11050660,"3,224",27221,10967,29.39728276,11.84379707,0.0003,50.47129051,3173.5986355884024,81.77235772357723,22323.47154471545,49.8,11912.12,105.8,1500,15977.95668549906,48453.58753709199,25762.14935064935,18000,71.96091205839431,9727.297545075962,27048.42339,,,,57,61,12,58,265,96,6,18,35,200,4358
