행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,montly-avg_단독다가구,dep-avg_단독다가구_월세,montly-avg_아파트,dep-avg_아파트_월세,montly-avg_연립다세대,dep-avg_연립다세대_월세,montly-avg_오피스텔,dep-avg_오피스텔_월세,dep-avg_단독다가구_전세,dep-avg_아파트_전세,dep-avg_연립다세대_전세,dep-avg_오피스텔_전세,montly-avg_mean,dep-avg_rent_mean,dep-avg_deposit_mean,count_도시철도,count_bus,count_transport,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop
전라북도 군산시 나운2동,35020710,"3,233",21901,9470,34.13938754,14.76188302,0.0003,,,36.333333333333336,1446.0357142857142,30,300,,,,8372.431818181818,7000,,33.16666666666667,873.0178571428571,7686.215909090909,,,,19,48,7,19,222,133,0,11,45,301,2398
전라북도 군산시 소룡동,35020720,"4,973",16968,9254,53.73892371,29.30810938,0.0005,35.41509433962264,303.7735849056604,40.96428571428572,972.95,45.25,625,47.61538462,1500,5750,7753.521126760564,3666.6666666666665,7125,42.311191168477094,850.4308962264151,6073.796948356808,,,,53,12,5,54,346,125,50,103,55,497,3098
전라북도 군산시 미성동,35020730,"4,072",10804,6601,61.68762309,37.68974454,0.0004,32.567567567567565,336.4864864864865,24.46783625730994,5005.877192982456,50,500,,,3760,7438.616822429906,4000,,35.67846794162583,1947.4545598229809,5066.205607476636,,,,31,6,1,22,189,133,0,41,30,246,2353
전라북도 군산시 나운3동,35020740,"5,922",30440,14205,41.68954593,19.45466491,0.0006,34.61445783,202.7951807228916,33.85057471264368,1219.1637931034484,30.142857142857142,1235.7142857142858,29.53333333,356.6666667,8085.714285714285,7484.406824146981,7875,,32.03530575387521,753.5849815601564,7815.0403699537555,,,,38,29,7,38,207,133,31,28,61,443,2899
전라북도 익산시 함열읍,35030110,"1,492",6398,3261,45.75283655,23.31978743,0.0002,,,12.678571428571429,1902.642857142857,45,1933.3333333333333,,,5000,,,,28.839285714285715,1917.9880952380952,5000,,,,9,10,3,3,142,61,1,9,19,110,836
전라북도 익산시 오산면,35030310,"1,635",7240,3719,43.96343103,22.58287293,0.0002,29.5,850,13.51851851851852,2404.759259259259,,,,,,,,,21.50925925925926,1627.3796296296296,0,,,,12,2,0,2,60,17,0,16,5,31,1171
전라북도 익산시 황등면,35030320,"1,387",6589,3276,42.33821734,21.05023524,0.0001,60,3000,26.142857142857142,521.4285714285714,,,,,,,5000,,43.07142857142857,1760.7142857142858,5000,,,,5,4,0,2,111,40,0,9,7,87,1307
전라북도 익산시 함라면,35030330,564,2120,1169,48.24636441,26.60377358,0.0001,,,,,,,,,,,,,0,0,0,,,,2,1,0,0,19,2,3,1,4,31,1145
전라북도 익산시 웅포면,35030340,394,1462,817,48.2252142,26.9493844,0,,,,,,,,,,,,,0,0,0,,,,2,2,0,0,15,2,2,4,4,26,1166
전라북도 익산시 성당면,35030350,535,1768,1022,52.34833659,30.260181,0.0001,,,,,,,,,,,,,0,0,0,,,,1,1,0,0,10,1,0,2,1,10,1051
