행정구역분류,행정구역_x,지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금,평균 월세 단위면적당 보증금,평균 단위면적당 월세금,평균 전세 단위면적당 보증금,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),count_bus,count_transport,count_도시철도,sum_all_shop,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식
11010,서울특별시 종로구,50.90234077411765,28.29608593529412,0.000235294,87.36536537883616,1.7523082280944213,362.87231781931524,189.5105273525655,1.8603939309880344,607.9964041444373,180.17148558344985,1.552662229125092,493.03427260144844,84.58716514,2.362044122,617.0056874606695,135.40863586262242,1.8818521276616347,520.2271705064676,37728,139417,72067,85,99,14,39481,2809,793,197,584,5125,1054,525,1256,439,6226
11020,서울특별시 중구,56.90384531,32.85861227,0.00024,73.17884541848032,1.7212191091576525,337.74260859288887,209.44708081745912,2.6601386658782573,835.8764644882224,202.96446494643095,2.172104524610389,670.4659864701695,135.2680513307989,2.818297592847287,733.7156519730202,155.21461063032373,2.3429399730728915,644.4501778808642,34519,121312,64714,88,111,23,33468,4647,454,279,643,7284,1086,539,1639,394,5651
11030,서울특별시 용산구,49.07427408,26.447139768125002,0.0003375,72.03780658270709,1.6236252600860426,357.7455859065859,230.39249877690796,1.9379401254637307,723.4133244742459,152.77842004375813,2.0713678120318297,607.8201704104714,135.42964958100916,2.1314037096280525,613.5146249589322,147.65959374609557,1.9410842268024138,575.6234264354634,53331,213151,107825,95,114,19,26438,2074,592,121,813,3660,1094,284,503,316,4866
11040,서울특별시 성동구,44.79517402470589,22.99826527588235,0.000341176,75.79419870538558,1.6588094284430515,376.7817982824756,295.4243759022579,2.3817265868313746,815.2955871861939,214.5488119708662,1.9842271774894638,656.5938969839916,135.11507105208761,2.605271494306792,657.4187136187384,180.22061440909144,2.1575086717676704,626.5224990190403,58976,277361,133089,44,63,19,80972,3730,747,162,736,2819,1535,141,696,478,4403
11050,서울특별시 광진구,49.249833767333335,27.125321772733333,0.000553333,86.00506517768319,1.552862146271497,381.8010216520425,277.8940270345281,2.1114302279634036,776.7775590090998,279.6480501075138,1.817594433205616,708.9252566790135,150.84528695339313,2.8484303914098414,829.3750809767868,198.59810731827957,2.082579299722114,674.2197295816212,85080,335554,170077,108,119,11,65644,1933,829,207,863,3762,1909,188,699,865,4789
11060,서울특별시 동대문구,50.04002249214285,26.46789632571429,0.000621429,57.40228631439322,1.7102131618072907,356.3438161845596,219.35901715519867,1.9069393679081799,721.7066077657037,169.3399813349584,2.3258523406680496,631.2201422599861,113.84000892425948,2.9607226722017463,761.4502733,139.98532343220245,2.2259318856099433,617.6802098656984,86129,341149,172801,91,107,16,60585,1257,633,198,782,4078,1753,291,513,669,4541
11070,서울특별시 중랑구,44.58361905,22.57616365,0.0005375,74.80371782478841,1.256818102949004,331.05507805047216,210.84320574649513,1.5869389216587835,637.9502819,203.05534456704189,1.6595957350075272,569.3047267245045,171.79124100371143,1.950613022551334,588.1516206936465,165.1233772855092,1.6134914455447078,531.6154269,85012,382155,188097,136,152,16,50534,1186,489,175,652,3193,1969,146,503,726,4074
11080,서울특별시 성북구,42.11974843,21.006814731400002,0.00042,63.369556528925145,1.4642766653732717,308.2220952505813,201.2430228711878,1.619344966809221,639.3604063852923,138.08790731063297,1.7910351349662512,484.18185244650783,103.38771389360298,2.1837577763478118,552.0609079,126.52205015145523,1.7646036358705701,495.95631548313065,83019,425602,196800,69,81,12,51286,1189,804,176,694,3095,1761,182,424,571,4381
11090,서울특별시 강북구,45.77515848384615,23.526727594999997,0.000515385,39.289207938329405,1.339560608517552,253.85082108071143,136.66015616079716,2.290327872198756,572.2293842547025,106.19648798101531,1.4426679269512848,334.12336416812684,70.41652663679459,2.334189207366926,593.2298326824878,88.14059467754548,1.8516864037586298,438.3583505465071,66366,288113,143560,40,51,11,29422,921,436,156,567,2649,1643,176,380,611,3655
11100,서울특별시 도봉구,37.08799268357143,17.092491400785715,0.000364286,49.32463860640341,1.1349198113771817,216.95234310545567,123.30031806613492,1.381213692735858,437.11672536211006,112.95644290758376,1.1870622083815572,363.5218194721646,72.67698247,1.9333179194975423,488.07694395228526,89.56459551,1.4091284079980346,376.4169579730039,51212,306948,138261,85,93,8,20900,792,459,87,417,2120,1289,51,279,502,2784
11110,서울특별시 노원구,34.727939965263154,15.44575263768421,0.000426316,43.38946624753655,1.366518135545752,233.0678100759574,111.94017298964654,1.3270603908763026,458.5063310312523,96.46764724389895,1.3327106885088822,354.7336669213861,55.2212251,1.8826645071631352,448.7987874,76.75462789627227,1.477238430523518,373.7766488451451,78460,498213,217904,210,226,16,22408,953,923,249,492,3218,1581,91,373,826,4216
