행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop,count_bus,count_도시철도,count_transport,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금
경기도 파주시 금촌1동,31200530,"7,196",21594,12359,58.22477547,33.3240715,0.0007,253,38,17,65,595,253,42,95,129,687,6108,80,1,81,17.957817064542553,1.2261868448655542,153.49824700772768,64.38539465092552,1.394352450746684,325.7160364959767,33.43425542783613,1.6589701433768242,214.47956289588345,40.19039048778836,2.184664219659855,479.3385129011753
경기도 파주시 금촌3동,31200540,"3,556",25721,10815,32.8802589,13.82527895,0.0004,37,15,3,33,120,92,4,19,18,129,4424,77,,77,4.707787902576877,0.2758250693049913,119.43696896765488,37.31667315559836,1.2891803610234682,241.9048495518626,28.690562867085237,1.0802729354277243,323.1637793077001,,,
경기도 파주시 운정2동,31200570,"6,610",64860,24855,26.59424663,10.19118101,0.0007,118,175,21,60,259,173,2,24,77,476,5382,37,,37,63.732323920918255,1.3754461920389427,277.56591075981527,86.89374697198377,0.5477865745398495,423.7159206652385,,,,,,
경기도 이천시 장호원읍,31210110,"2,699",14122,6682,40.39209817,19.11202379,0.0003,22,27,11,28,278,92,14,24,34,291,3062,158,,158,17.566305001370388,1.229494225222142,106.7829265280467,22.094142103904566,0.8743548317656193,133.31283114643225,18.36808866221251,1.004032335432298,168.13491908238666,,,
경기도 이천시 부발읍,31210120,"7,031",36495,16594,42.37073641,19.26565283,0.0007,54,56,7,66,268,182,20,47,68,524,3582,165,1,166,20.97597697000901,1.6838725408866169,258.6467053850765,27.684360550731338,0.9562743205923848,231.2468131659913,16.892780369677833,1.480538054703911,223.1887739567778,22.531545881341017,2.019723598070224,384.4045579572281
경기도 이천시 신둔면,31210310,"2,836",14011,6689,42.39796681,20.24123903,0.0003,44,35,1,49,202,44,5,44,19,155,3542,118,1,119,26.09017449153946,1.6533263240540197,202.61386298092128,53.46156731,1.3173882582543457,235.69696330786888,30.71883377911171,0.984517476,233.7145832920705,,,
경기도 이천시 백사면,31210320,"1,792",11432,5170,34.6615087,15.67529741,0.0002,27,12,4,22,94,57,4,21,15,104,3323,98,,98,28.627891297475813,0.8534735160476615,194.23757856054084,26.42034291641924,1.026127850773612,164.86382400893555,17.07019043260718,1.0445846181604197,232.37188485530496,,,
경기도 이천시 호법면,31210330,"1,698",5924,3197,53.11229277,28.6630655,0.0002,23,10,4,17,275,32,1,34,14,116,3519,97,,97,30.300484532203168,1.6086169696134591,221.71420428568015,16.67500416875104,1.1811461286198657,214.9320274172174,48.16545833,0.9272066493750324,214.47370324531693,,,
경기도 이천시 마장면,31210340,"4,104",15700,8005,51.26795753,26.14012739,0.0004,40,40,4,34,244,92,24,99,45,386,4027,116,,116,30.26971375,1.6778051410957828,280.92809207857925,210.8971939766589,0.355820753,413.8301586,19.487685345750144,1.3074358336819656,151.0016276833306,19.26040061633282,1.7334360554699535,298.87920298879203
경기도 이천시 대월면,31210350,"4,365",14334,7711,56.60744391,30.452072,0.0004,24,12,0,27,79,47,4,37,22,177,3202,82,,82,18.193645609569124,1.5285716463487782,243.3627425240067,14.553814409477388,1.023659587605272,225.79755509522388,15.226211510818644,1.2000369872343817,182.56954812544092,,,
경기도 이천시 모가면,31210360,"1,097",4152,2231,49.17077544,26.42100193,0.0001,7,6,1,9,71,20,5,25,11,83,3329,77,,77,19.510222421312854,1.6043240953285445,216.55316164054275,,,,7.671653241273495,0.6137322593018796,192.70539575108103,,,
경기도 이천시 설성면,31210370,"1,264",4501,2482,50.92667204,28.0826483,0.0001,14,2,0,11,40,12,1,24,7,55,3007,90,,90,7.913975015031729,0.8179895835310234,138.0670611439842,,,,,,,,,
경기도 이천시 율면,31210380,739,2582,1467,50.37491479,28.62122386,0.0001,4,4,0,5,23,3,0,8,6,32,2686,79,,79,,,,,,,,,,,,
경기도 이천시 창전동,31210510,"4,256",16018,8382,50.77547125,26.57010863,0.0004,78,62,35,68,545,308,38,48,90,632,5258,19,,19,21.25887518344668,1.4677950071005508,211.91663300307604,27.84434228732791,1.124935459809136,233.6333789,31.95114192474008,1.4260355719582818,228.98581690817247,24.934231829819275,1.7389521628491396,315.3372601100083
경기도 이천시 중리동,31210520,"5,442",15644,9003,60.44651783,34.78649962,0.0005,175,28,14,85,287,169,31,57,50,429,4709,92,1,93,21.87763017433998,1.5584731129281946,224.4811965065976,116.38701724273304,0.4567972783199752,310.8423111,23.42758731587393,1.826705213617627,187.48442051241852,27.281604396835576,2.013261346490564,359.8248378745606
경기도 이천시 관고동,31210530,"2,317",9609,4832,47.95115894,24.11281091,0.0002,57,8,8,24,209,63,17,20,20,219,4059,35,,35,21.97450470541732,1.6258433496233693,276.03826965129616,54.19376354844088,1.1088877772219443,246.02845458803023,46.13765806877343,1.1377051000007838,258.5271104,13.417979486358382,1.3204816568136952,
경기도 이천시 증포동,31210540,"5,220",57574,21348,24.45193929,9.066592559,0.0005,66,129,5,79,274,210,5,32,70,368,4671,75,,75,26.659719836009096,1.8038056815680088,311.69604525514256,41.96974969599465,0.9573483773720431,280.1432685092517,56.20870406243292,1.1728944822001934,231.5766172,53.824150660766655,1.8333643309046397,436.7675619
경기도 안성시 공도읍,31220110,"10,215",61350,26978,37.86418563,16.65036675,0.001,94,112,13,91,551,269,10,65,99,674,2950,126,,126,17.66081699593563,1.2305570940790147,156.2038592487574,59.33779199349493,0.857360783,233.0342965952233,45.78058957160877,1.0215299546062806,193.05577647045095,2.652391975308642,1.070601851851852,108.02469135802468
경기도 안성시 보개면,31220310,"1,107",5110,2560,43.2421875,21.66340509,0.0001,19,11,1,34,76,16,5,17,5,46,2216,113,,113,19.918839017215088,1.740806087727933,104.53686372972408,26.51250614314167,0.8755593492149712,147.26296095117388,,,,,,
경기도 안성시 금광면,31220320,"1,709",7341,3700,46.18918919,23.28020706,0.0002,11,5,2,13,52,11,15,11,8,113,2294,117,,117,19.92989047690184,0.9462350953025848,82.51959717689068,20.057600432308178,1.0229197545998954,192.1906642916469,61.46407425,0.8195209899813559,,,,
경기도 안성시 서운면,31220330,744,3081,1611,46.18249534,24.14800389,0.0001,9,1,0,6,43,15,3,12,5,55,2076,83,,83,13.139930054731186,0.5911675986116325,,,,,,,108.5252622693838,,,
경기도 안성시 미양면,31220340,"1,504",5533,2973,50.58863101,27.18236038,0.0002,11,5,0,8,80,32,1,38,6,86,2246,126,,126,15.25197469845072,0.9079909086001754,88.49934933258064,23.81969008039734,0.4915476873549757,156.23784937511525,12.740882306099698,2.229654403567447,198.4126984126984,,,
경기도 안성시 대덕면,31220350,"4,803",15207,8440,56.90758294,31.58413888,0.0005,43,16,1,23,195,73,8,63,44,250,2959,98,,98,34.65697662459029,1.082781463824095,134.23233235922163,50.25119676,1.0978763508451457,221.81939143496783,41.12127591447396,1.276952422004762,162.96472602355692,9.720295021805397,1.5846756203268624,114.37669146297152
경기도 안성시 양성면,31220360,"1,393",5131,2718,51.25091979,27.14870396,0.0001,25,9,4,24,94,16,16,21,10,148,2669,111,,111,15.716078102778908,1.3084929391794116,147.25801641368332,,,,25.154960476332487,0.6893396249713296,134.51220178255008,,,
경기도 안성시 원곡면,31220380,"1,922",6495,3571,53.8224587,29.59199384,0.0002,29,11,0,38,154,59,21,36,20,204,2752,93,,93,15.231381460080996,1.6852983310814953,174.52693695766558,28.559160698309675,1.2598670191796524,274.37819149946256,12.695388668668963,1.7267481838069545,,,,
경기도 안성시 일죽면,31220390,"1,854",7279,3871,47.89460088,25.47053167,0.0002,16,4,2,19,133,42,10,29,22,189,2947,102,,102,29.076528874168467,1.5468485097530014,179.94061742735826,,,,12.91364003,1.6949152542372885,,,,
경기도 안성시 죽산면,31220400,"2,041",6834,3801,53.69639569,29.86537899,0.0002,10,4,2,20,127,53,33,25,18,193,3029,96,,96,11.83988502098744,1.585063227112231,107.65032270005396,20.11153935697348,1.2243521867284315,123.19432881957518,33.686012260028875,1.329244110346257,148.63150708961498,,,
경기도 안성시 삼죽면,31220410,"1,371",3739,2261,60.63688633,36.66755817,0.0001,12,8,2,20,50,10,10,15,8,88,2821,65,,65,2.3823808728396725,1.5213426444782996,287.39815309385074,,,,13.22226629644321,0.7272246463043767,,,,
경기도 안성시 고삼면,31220420,525,1887,1031,50.9214355,27.82193959,0.0001,7,2,0,4,27,9,8,4,7,39,2492,65,,65,10.152284263959393,0.3045685279187817,,,,,,,,,,
경기도 안성시 안성1동,31220510,"2,446",11802,5710,42.83712785,20.7253008,0.0002,134,31,3,83,178,92,9,45,30,209,3659,55,,55,13.938283415320672,1.1712082819389484,146.5625901920297,29.82966250056443,1.136795825470227,282.91368796755114,14.187084709220535,1.2630699315340272,174.1200851573069,,,
경기도 안성시 안성2동,31220520,"5,549",26165,12369,44.86215539,21.20772024,0.0006,58,54,37,46,468,214,17,59,75,597,4500,76,,76,14.77299297637471,1.397841839375991,174.48445440435043,56.04164733999215,0.7077769201319223,211.38352175028444,19.15148698414446,1.3444219903780426,179.66219498001053,35.20929404,2.064800773477212,173.6111111111111
경기도 안성시 안성3동,31220530,"3,265",22080,9432,34.61620017,14.78713768,0.0003,54,35,8,24,272,169,6,34,64,401,3971,49,,49,14.33841011687039,1.1912834068012514,127.7514160491918,28.943130673979947,1.2772012014572216,238.38748428948435,23.489461409679237,1.2516170244294225,85.49931600547195,3.408801310117906,0.4685228993196596,
경기도 김포시 통진읍,31230110,"8,838",34589,18031,49.01558427,25.5514759,0.0009,115,29,13,111,426,201,13,82,80,550,2050,148,,148,19.10570885944503,1.2810839867976376,130.14512724770253,65.71358343,0.4538737801567215,285.5533437113481,27.95874556878988,1.0278787717432811,150.7470420057544,,,
경기도 김포시 고촌읍,31230120,"4,875",48397,18581,26.23647812,10.07293841,0.0005,236,122,25,111,566,139,5,86,51,379,2208,122,1,123,30.004027222762403,1.5830413690804994,275.0426277681499,93.72887054,1.6388509932178648,431.7888251,52.84124723121185,1.3198333428067837,360.80540923089467,49.0644467,2.212438246995067,477.4743303295306
경기도 김포시 양촌읍,31230130,"7,445",30225,15537,47.91787346,24.63192721,0.0007,173,50,4,135,587,273,7,156,79,612,2590,185,1,186,23.266095180707715,1.2776008560077643,193.2259391160836,73.20575399,0.375053373,329.6407751,26.695459136850776,1.0478523752484077,182.0644944260568,29.431886120240183,1.003557043224696,
경기도 김포시 대곶면,31230340,"3,122",9586,5484,56.92924872,32.56832881,0.0003,76,11,1,138,355,119,15,76,35,364,2132,184,,184,19.20255222729597,1.2695731157441978,153.05843460089287,,,,29.95115302617743,1.1434480233340318,129.6066236196033,,,
경기도 김포시 월곶면,31230350,"1,753",5204,3057,57.34380111,33.68562644,0.0002,19,8,1,28,119,43,11,28,17,172,1426,96,,96,25.14330487343655,1.0889049772043682,77.29431551572075,,,,43.260442572370486,0.980012022,133.16701903597394,129.12746725696366,0.7378712414683638,
경기도 김포시 하성면,31230360,"1,966",7918,4123,47.68372544,24.8295024,0.0002,53,13,1,89,179,67,11,39,26,185,1690,129,,129,18.939899550559268,0.9718935665707048,168.3448627828406,40.65040650406504,1.3821138211382114,429.5387219636056,21.719668953195587,0.9609723738734508,100.10974169400676,,,
경기도 김포시 사우동,31230530,"3,550",21413,9569,37.09896541,16.57871387,0.0004,309,62,23,81,269,139,1,91,67,373,3255,52,2,54,34.690348078063984,1.168353154485564,167.76811155441456,59.77774264548145,1.1943160856793869,343.7892925005565,23.864305655889197,1.0236327036776216,228.9316218867613,17.000097525310885,1.3552544831338054,174.70482341725355
경기도 김포시 풍무동,31230540,"6,539",60264,23351,28.00308338,10.85059073,0.0007,134,167,31,107,338,231,2,33,84,509,3548,76,,76,27.74491578,1.8757540968938649,220.8762762839074,62.41727799642873,1.3966137692331675,391.8882946185514,48.13574082938161,1.112397239037084,187.3345238,50.89159518850988,2.1251896781132498,511.5744148
