행정구역_x,행정구역분류,2023년_계_총세대수,2023년_계_총인구수,2023년_세대수(전체세대),지역별 1인세대 / 지역별 전체세대,지역별 1인가구 / 전체인구비,지역별 1인가구수 / 전국 1인가구수비,sum_과학·기술,sum_교육,sum_보건의료,sum_부동산,sum_소매,sum_수리·개인,sum_숙박,sum_시설관리·임대,sum_예술·스포츠,sum_음식,sum_all_shop,count_bus,count_도시철도,count_transport,단독다가구 월세 단위면적당 보증금,단독다가구 단위면적당 월세금,단독다가구 전세 단위면적당 보증금,아파트 월세 단위면적당 보증금,아파트 단위면적당 월세금,아파트 전세 단위면적당 보증금,연립다세대 월세 단위면적당 보증금,연립다세대 단위면적당 월세금,연립다세대 전세 단위면적당 보증금,오피스텔 월세 단위면적당 보증금,오피스텔 단위면적당 월세금,오피스텔 전세 단위면적당 보증금,평균 월세 단위면적당 보증금,평균 단위면적당 월세금,평균 전세 단위면적당 보증금
서울특별시 종로구 창신1동,11010670,1547,4521,2626,58.91089109,34.21809334,0.0002,92,6,19,35,323,57,30,30,21,211,2087,2,2,4,39.89333407461262,1.925858523407038,393.1365506878424,134.07824605411224,1.519864319056511,549.2339399436626,356.1250104934736,1.5266211693710288,596.9581626231325,55.17197055334537,4.525467117445087,1002.1012160990964,146.31714029388596,2.374452782319916,635.3574673384335
서울특별시 종로구 창신2동,11010680,2031,7510,3983,50.99171479,27.04394141,0.0002,28,4,2,15,88,37,14,9,15,125,1610,0,0,0,32.47657490467508,1.015736515661621,178.45337422464067,195.3690734771488,0.69501962,391.8238756,162.64914801405013,0.9712100465196222,351.5743012538723,70.66311338418919,1.7685549717663267,438.8235336550541,115.2894774450158,1.1126302884868924,340.1687711833917
서울특별시 종로구 창신3동,11010690,946,6345,2769,34.16395811,14.90937746,0.0001,7,5,0,13,25,13,4,2,5,32,1264,0,1,1,50.026654877912165,1.3692196016265326,298.0027383148644,144.32791301837773,1.7665736553449436,564.0775659441107,136.09726680538282,0.9718484039736786,398.4590806831251,70.66311338418919,1.7685549717663267,438.8235336550541,100.27873702146547,1.4690491581778704,424.8407296492886
서울특별시 종로구 숭인1동,11010700,1489,5782,2995,49.71619366,25.75233483,0.0001,20,6,4,11,46,35,4,6,1,45,1470,1,1,2,48.036773887372135,1.701680216829439,313.5283686457006,288.4053738317757,1.8399532710280373,746.5989134938538,275.3696726197901,1.2265546051581906,581.5729959259127,69.38115675126667,1.7191492941370463,405.66834489009096,170.29824427255113,1.6218343467881782,511.8421557388895
서울특별시 종로구 숭인2동,11010710,4795,9821,6651,72.09442189,48.82394868,0.0005,76,24,3,46,294,51,48,35,30,196,2105,3,0,3,61.46921892332322,1.7649087948381497,372.5707488959984,284.2053548499538,2.3950723118034225,745.4889087880925,138.42150494460302,1.596581845437836,375.9908439498448,106.5485396415544,2.711056187224159,882.5620541410187,147.6611545898586,2.116904784825892,594.1531389437387
서울특별시 종로구 청운효자동,11010720,1964,11349,5048,38.90649762,17.30548947,0.0002,167,38,4,32,176,45,33,35,9,277,2128,0,0,0,145.54337633604263,1.6357376464975404,477.3329119193854,136.2769146906514,1.0902153175252114,345.9686892762819,203.29987067134093,1.318166465192065,492.71688043181706,70.66311338418919,1.7685549717663267,438.8235336550541,138.94581877055603,1.453168600245286,438.7105038206346
서울특별시 종로구 혜화동,11010730,5697,15869,9114,62.5082291,35.90018275,0.0006,155,60,8,52,219,97,47,46,65,578,2659,5,0,5,69.46580274,2.6202502300943014,464.7372790662071,293.79265509188224,1.851990415369028,682.2054858198704,100.16070023909442,2.087049309587795,548.1779652759119,70.66311338418919,1.7685549717663267,438.8235336550541,133.52056786379146,2.0819612317043625,533.4860659542609
서울특별시 중구 소공동,11020520,738,2185,1237,59.66046888,33.77574371,0.0001,464,47,26,38,743,76,32,243,23,676,2865,25,3,28,32.47657490467508,1.015736515661621,316.9572107765452,412.5441670600591,4.414898312506407,1277.669649266014,70.29362820419793,1.1199755504739544,268.5026140682301,202.5499866834383,2.4545430907706587,751.5494764128063,179.4660892130926,2.251288367,653.6697376308989
서울특별시 중구 회현동,11020540,1515,4394,2502,60.55155875,34.47883477,0.0002,144,26,23,31,1995,108,45,82,26,502,3509,21,2,23,77.18373862463744,2.1299739184794406,293.9086701954634,162.57508407492176,3.809056689942099,1236.2644541320549,283.0494886276228,3.631703069,841.9457411046977,70.66311338418919,1.7685549717663267,438.8235336550541,148.36785617784278,2.8348221622969665,702.7355997718175
서울특별시 중구 명동,11020550,950,2595,1375,69.09090909,36.6088632,0.0001,813,92,95,118,758,219,157,703,56,1071,4629,15,1,16,63.58786753,2.042105231025565,408.6524825200681,90.22630850357524,1.0725660560643984,345.9686892762819,119.8154963742891,4.775509710538794,675.8255998372277,70.66311338418919,1.7685549717663267,438.8235336550541,86.07319644801336,2.414683992348771,467.317576322158
서울특별시 중구 필동,11020570,1679,4012,2495,67.29458918,41.84945165,0.0002,712,42,12,41,180,49,35,97,28,437,2210,3,2,5,57.61259731358782,2.2584150707850545,458.3201928161928,117.97594694712936,3.264907919744549,772.7531040325537,174.3068083828147,1.571281620083676,908.2286614668424,160.82192043458417,3.238109660563727,992.7247232310816,127.6793183,2.583178567794252,783.0066703866676
서울특별시 중구 장충동,11020580,1918,4548,2834,67.67819337,42.17238347,0.0002,81,19,2,11,92,24,23,23,12,145,1039,0,1,1,68.90391632001062,2.227706102,322.13189481846274,66.38496495329152,3.954086690334256,345.9686892762819,94.55787423177222,1.899759354682032,492.08252695870266,70.66311338418919,1.7685549717663267,438.8235336550541,75.12746722231589,2.462526779695654,399.75166117712536
서울특별시 중구 광희동,11020590,2899,5790,3967,73.07789261,50.06908463,0.0003,788,44,26,64,1417,99,111,140,34,592,3932,4,3,7,47.80062114220948,2.2985511102770304,407.3203221475906,334.43301428936144,3.046023352070837,979.4313644431832,233.6861101431452,2.953522959957141,829.3065371552918,129.7292687360601,3.730218578189176,937.8487660956088,186.4122535776941,3.007079000123546,788.4767474604187
